product_code,1234,y,z
pt,10.6013,545.925,0
pt,10.6799,545.1,0
pt,10.7582,544.275,0
pt,10.8364,543.449,0
pt,10.9143,542.624,0
pt,10.9919,541.799,0
pt,11.0694,540.974,0
pt,11.1466,540.148,0
pt,11.2236,539.323,0
pt,11.3004,538.498,0
pt,11.3769,537.672,0
pt,11.4532,536.847,0
pt,11.5293,536.021,0
pt,11.6052,535.196,0
pt,11.6808,534.37,0
pt,11.7562,533.545,0
pt,11.8313,532.719,0
pt,11.9062,531.894,0
pt,11.9809,531.068,0
pt,12.0553,530.243,0
pt,12.1295,529.417,0
pt,12.2034,528.591,0
pt,12.2771,527.766,0
pt,12.3505,526.94,0
pt,12.4237,526.114,0
pt,12.4966,525.289,0
pt,12.5693,524.463,0
pt,12.6417,523.637,0
pt,12.7139,522.811,0
pt,12.7858,521.985,0
pt,12.8575,521.16,0
pt,12.9289,520.334,0
pt,13,519.508,0
pt,13.0709,518.682,0
pt,13.1415,517.856,0
pt,13.2194,516.941,0
pt,13.297,516.026,0
pt,13.3742,515.111,0
pt,13.4512,514.196,0
pt,13.5278,513.282,0
pt,13.604,512.367,0
pt,13.68,511.452,0
pt,13.7556,510.536,0
pt,13.8309,509.621,0
pt,13.9059,508.706,0
pt,13.9805,507.791,0
pt,14.0549,506.876,0
pt,14.1289,505.961,0
pt,14.2025,505.046,0
pt,14.2759,504.13,0
pt,14.3489,503.215,0
pt,14.4216,502.3,0
pt,14.494,501.385,0
pt,14.5661,500.469,0
pt,14.6378,499.554,0
pt,14.7092,498.639,0
pt,14.7803,497.723,0
pt,14.851,496.808,0
pt,14.9215,495.892,0
pt,14.9916,494.977,0
pt,15.0614,494.061,0
pt,15.1308,493.146,0
pt,15.2,492.23,0
pt,15.2688,491.315,0
pt,15.3373,490.399,0
pt,15.4054,489.483,0
pt,15.4733,488.568,0
pt,15.5408,487.652,0
pt,15.608,486.736,0
pt,15.6749,485.821,0
pt,15.7414,484.905,0
pt,15.8076,483.989,0
pt,15.8735,483.073,0
pt,15.9391,482.158,0
pt,16.0044,481.242,0
pt,16.0693,480.326,0
pt,16.1339,479.41,0
pt,16.1982,478.494,0
pt,16.2622,477.578,0
pt,16.3258,476.662,0
pt,16.3892,475.746,0
pt,16.4522,474.83,0
pt,16.5148,473.914,0
pt,16.5772,472.998,0
pt,16.6392,472.082,0
pt,16.7009,471.166,0
pt,16.7623,470.25,0
pt,16.8234,469.334,0
pt,16.8841,468.418,0
pt,16.9445,467.502,0
pt,17.0046,466.585,0
pt,17.0644,465.669,0
pt,17.1239,464.753,0
pt,17.183,463.837,0
pt,17.2418,462.92,0
pt,17.3003,462.004,0
pt,17.3585,461.088,0
pt,17.4163,460.172,0
pt,17.4739,459.255,0
pt,17.5269,458.406,0
pt,17.5796,457.558,0
pt,17.632,456.709,0
pt,17.6842,455.86,0
pt,17.7361,455.011,0
pt,17.7878,454.162,0
pt,17.8392,453.313,0
